#Title,Digilent WaveForms Network Analyzer Data
#Device Name,Analog Discovery
#Serial Number,SN:210244541213
#Software Version,2.7.5
Frequency (Hz),Channel 1 (dB),Channel 2 (dB),Channel 2 (deg)
1,0.00209294033807405,0.0116559996218966,-7.22123957508281
1.05497635804177,0.00163481945263718,0.0142630962327591,-7.62074615104522
1.11297511602709,0.00195041826763339,0.00884754576631683,-8.0210729813641
1.17416243449738,0.00190159928040073,0.00999820153780607,-8.41878056150458
1.23871360889551,0.00224900104975674,0.0147165321971429,-8.91863139898129
1.30681357176937,0.00157476647680415,0.0123378788683465,-9.38945896107924
1.37865742258481,0.00230442151985756,0.00766932675276199,-9.90724974272164
1.45445098666579,0.00226232064930336,0.00529507659070534,-10.4641963363169
1.53441140486294,0.00201512249590251,0.00221548260220488,-11.0277296456877
1.61876775564007,0.00155694224359275,0.00219906741871554,-11.5992757977232
1.70776171136062,0.00198208006680892,0.00377629177753835,-12.2395516482375
1.80164823065441,0.00194744951669701,0.0015419500809305,-12.9150929223084
1.9006962888482,0.00147527543088148,-0.00318598940428481,-13.6255392983202
2.00518964855259,0.00181138316123797,-0.00779289580471371,-14.354183461516
2.11542767261308,0.0024436452403268,-0.0102779786563136,-15.1471981762009
2.23172618175414,0.00153003797056903,-0.00653207598115245,-15.9566001619741
2.35441835937346,0.0018441394237976,-0.0155957922625603,-16.8119201607106
2.4838557060785,0.00164542955500504,-0.0141988092422438,-17.7398650938724
2.62040904669998,0.00291442167818114,-0.0242833973373614,-18.740391707949
2.76446959266726,0.00242880472431328,-0.0284812846511964,-19.7174723084825
2.91645006278934,0.00221862099347995,-0.0303865182394612,-20.8087184681023
3.0767858656522,0.00245195389367819,-0.0390191440383506,-21.9287833541435
3.24593634702017,0.00245133194576638,-0.0506119688700569,-23.143390172388
3.42438610581476,0.00264469497809812,-0.0540921391736896,-24.3724048511323
3.61264638244132,0.00258609282836117,-0.0657005575763047,-25.6819647539242
3.81125652344074,0.00210236661083275,-0.0736042768653855,-27.1143964239739
4.02078552666246,0.00191389065802417,-0.0759501188973308,-28.5798224116376
4.24183367138544,0.00249672958425608,-0.0885780989344491,-30.1484169725139
4.47503423805719,0.00253598584125689,-0.100277459202669,-31.7757791792891
4.72105532257783,0.00254037502162903,-0.115601173621582,-33.5248588769453
4.98060175032689,0.00183906678473786,-0.131833269646985,-35.3617546446141
5.25441709541635,0.002006070020625,-0.147175187248651,-37.2201842759038
5.54328581095479,0.00237278131174524,-0.172744283326732,-39.2976762973638
5.84803547642573,0.00253673007532338,-0.186833748032455,-41.4305408782851
6.16953916861871,0.00199428900178813,-0.205512178972983,-43.6531242162049
6.50871796290546,0.0026826717026133,-0.237372742426694,-46.0275342002218
6.86654357202708,0.00252887573885405,-0.253574280207535,-48.5424051287849
7.24404112995229,0.0022142407410069,-0.29426900913899,-51.1941212632491
7.6422921287819,0.00248074074773674,-0.318576577317042,-54.0059312507888
8.06243751711365,0.00205253998297008,-0.374650953313554,-56.9239907095005
8.50568096874392,0.00239045079723312,-0.416341206876096,-59.9870122092128
8.97329233107071,0.00236500151636383,-0.463456558741831,-63.2537605274498
9.46661126307717,0.0018722511434627,-0.519024453766135,-66.7203652640596
9.9870510733184,0.00227321263857901,-0.572630732201047,-70.3653989355512
10.5361027689066,0.00171330192529499,-0.633261326339683,-74.182992949028
11.115339327095,0.00108557502449029,-0.713141953805657,-78.2422464265498
11.7264202016972,0.0015897975911597,-0.800788074516551,-82.4623406947351
12.371096077254,0.00166177794078537,-0.887051901520186,-86.9255310834778
13.0512138845663,0.00170927090500257,-0.993841772967103,-91.6922577612065
13.768722091964,0.00220976296815346,-1.11138676250764,-96.6994449045832
14.5256762874695,0.00150293910726948,-1.22861215067356,-101.95360087541
15.3242450678484,0.00181181746562598,-1.38827662302664,-107.51803793823
16.1667162514183,0.00194658075034447,-1.53717570936085,-113.454714401555
17.0555034324161,0.00187546689840906,-1.7183301604845,-119.563128937271
17.9931528956993,0.00409004021100847,-1.91667612411837,-126.11547303163
18.9823509115937,0.00198641883247351,-2.15300579670039,-133.02931720465
20.0259314317841,0.00229340804864784,-2.40187079826246,-140.317932971259
21.1268842082979,0.0027238521659435,-2.6830271438402,-147.949838745375
22.2883633588404,0.00143728028607997,-3.01561478574168,-156.098789322001
23.5136964030212,0.00181593963063166,-3.37887627724762,-164.554014002105
24.8063937953593,0.00131137293016763,-3.77500450581147,-173.51254750187
26.1701589823782,0.00189058998503119,-4.24318625562158,-183.031966769187
27.6088990126037,0.00167636069542848,-4.7647674552491,-193.028609839216
29.1267357298598,0.00165979668742169,-5.38579223082277,-203.556377579136
30.7280175819327,0.00170516157135866,-6.07377660957151,-214.807097582812
32.417332078431,0.00168706449975899,-6.84239257755255,-226.476849105667
34.1995189335339,0.00236034192672304,-7.79687816415948,-238.851481612884
36.0796839312804,0.000998924883425337,-8.93021430219126,-252.170000062669
38.0632135531205,0.00201807831380865,-10.315778410053,-266.005974460063
40.1557904096374,0.00170478414413817,-11.5988963780634,-280.071152864907
42.3634095206481,0.00222345526899587,-13.6268992101433,-293.970005088498
44.6923954903256,0.00166014145521745,-15.9918495769952,-311.078070562526
47.1494206265464,0.00238459340782116,-19.463492946881,-326.295472644433
49.7415240563737,0.0010855579479937,-26.4963218550303,-343.472268662857
52.4761318924405,0.00103959538272021,-46.6030837504737,-31.5194644199052
55.3610785080067,0.00142405159409658,-24.4477798771778,-240.426909148727
58.4046289816417,0.00262895289895069,-17.7258591432254,-225.643002866087
61.6155027758335,0.00220895429700443,-16.1682014438819,-248.608583000859
65.0028987173617,0.00175587516003345,-13.5365096960695,-276.216862490243
68.5765213510006,0.00193926687548216,-15.0790363264724,-282.808883736608
72.3466087420526,0.00183719520651646,-13.3890941243782,-310.677355067751
76.323961807364,0.00180056351832835,-12.9531261507387,-359.66508053205
80.5199752588524,0.00219887274243353,-16.2382085457302,-7.02783217646467
84.9466702481979,0.00305983587815914,-17.0635595428537,-37.0215829226123
89.6167288062195,0.00315596745400759,-20.9910281275777,-90.7569830317578
94.5435301756028,0.00153667486216896,-32.1038844738042,-210.27217335914
99.7411891410702,0.00192128475305961,-18.6159322071663,-206.060396649875
105.224596466802,0.00191913077203485,-29.7389427667832,-327.396130222773
111.009461556962,0.00270917377384422,-27.4898523090935,-307.682935904174
117.112357461543,0.00274434667496018,-24.2272464715141,-359.885295034426
123.550768356465,0.00331581002179874,-15.910957473924,-90.6119629777997
130.343139633966,0.00285351599471295,-19.1867132167398,-108.534261838263
137.508930746772,0.00249366274444652,-23.3207448483364,-219.260558595979
145.068670957448,0.0025635476769497,-19.2663371207653,-319.990530140301
153.04401815265,0.00342860237618046,-25.0338532660052,-347.710348976942
161.457820890761,0.00266574074731449,-25.9271522571811,-224.246193725778
170.334183860697,0.00252578323459316,-27.945693723046,-49.0337339600242
179.698536939376,0.00225678877044226,-25.6930008076515,-21.1176446177323
189.577708045738,0.00251965476960345,-41.0644075097374,-282.755996787092
200,0.00238825655503508,-33.0487909954441,-68.0385779164076
